station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12165-0,44,37.53,138.085,143.085,5.0,0.0,25.776315789473685,1,5369.98005,138.2397905157178,938.25,-0.15479051571779223,145.23220137221855,5515.212251372219
12165-0,45,37.53,137.75902,142.75902,5.0,0.0,30.526315789473685,1,5357.7460206,138.27956582453837,938.25,-0.5205458245383738,488.40211987312927,5846.1481404731285
12165-0,46,53.83,138.18187,133.18187,0.0,5.0,25.263157894736842,0,7169.1800621,138.276554117082,1345.75,-0.09468411708198232,127.4211505630777,7296.601212663078
12165-0,47,53.83,138.2451,133.2451,0.0,5.0,20.0,0,7172.583733,138.27124283004068,1345.75,-0.026142830040669196,35.18171352723057,7207.765446527231
12166-0,0,35.72,96.86276,96.86276,0.0,0.0,20.0,0,3459.9377871999995,96.31442614724806,893.0,0.5483338527519379,0.0,3459.9377871999995
12166-0,1,35.72,96.66787,96.66787,0.0,0.0,20.0,0,3452.9763163999996,96.20275331676052,893.0,0.4651166832394722,0.0,3452.9763163999996
12166-0,2,35.49,96.67039,96.67039,0.0,0.0,20.0,0,3430.8321411,96.18184665416504,887.25,0.4885433458349553,0.0,3430.8321411
12166-0,3,35.49,96.62454,96.62454,0.0,0.0,20.0,0,3429.2049246,96.14378718849504,887.25,0.4807528115049564,0.0,3429.2049246
12166-0,4,35.07,96.23743,97.55321947368421,1.3157894736842106,0.0,21.25,1,3421.191406942105,96.1947337077838,876.75,0.04269629221620619,0.0,3421.191406942105
12166-0,5,35.07,96.19882,101.19882,5.0,0.0,26.0,1,3549.0426174,96.1565664758118,876.75,0.04225352418819739,0.0,3549.0426174
12166-0,6,31.5,95.62258,100.62258,5.0,0.0,30.75,1,3169.61127,95.48398800426352,787.5,0.1385919957364763,0.0,3169.61127
12166-0,7,31.5,95.266464,100.266464,5.0,0.0,35.5,1,3158.393616,94.95271809626335,787.5,0.31374590373664546,0.0,3158.393616
12166-0,8,30.27,95.47102,100.47102,5.0,0.0,40.25,1,3041.2577754,95.23745462729978,756.75,0.2335653727002125,0.0,3041.2577754
12166-0,9,30.27,91.93943,96.93943,5.0,0.0,45.0,1,2934.3565461,91.73546291520196,756.75,0.2039670847980375,0.0,2934.3565461
12166-0,10,35.31,95.84,95.84,0.0,0.0,45.0,0,3384.1104000000005,95.73912472433996,882.75,0.1008752756600444,0.0,3384.1104000000005
12166-0,11,35.31,96.07319,96.07319,0.0,0.0,45.0,0,3392.3443389,95.9773960181474,882.75,0.09579398185259436,0.0,3392.3443389
12166-0,12,42.4,96.64793,96.64793,0.0,0.0,45.0,0,4097.872232,96.83194687121308,1060.0,-0.18401687121307475,195.05788348585924,4292.930115485859
12166-0,13,42.4,96.85649,96.85649,0.0,0.0,45.0,0,4106.715176,96.99992759451582,1060.0,-0.14343759451583082,152.04385018678067,4258.759026186781
